source_id,source_id_dr2,source_id_dr3,HD Number,GJ Number,HIP Number,RA,DEC,V_mag,Phot G Mean Mag,Phot BP Mean Mag,Phot RP Mean Mag,BP-RP,Parallax,Distance [pc],T_eff [K],Mass [M_Sun],Luminosity [L_Sun],Radius [R_Sun],HZ_limit [AU],Orbital Period [days],Yearly_Observable_nights,K_σ_RV_total [m/s],HZ Detection Limit [M_Earth],K_σ_photon [m/s],HZ Detection Limit (σ_photon) [M_Earth],σ_photon [m/s],σ_p-mode [m/s],σ_granulation [m/s],σ_supergranulation [m/s],"σ_RV,total [m/s]",Density [Solar unit],logg_gaia,log_rhk,activity_noise_floor [m/s],rhk_source,Gaia Spectral type,Object Type,Stellar Parameter Source,SIMBAD Spectral Type,Readable Spectral Type (experimental),HWO_match,LOPS2_match,TESS_confirmed_match,TESS_candidate_match,sum_score
Gaia DR3 4855440844294271488,4855440844294271488,4855440844294271488,HD  23576,,17483,56.18909629292306,-38.81777546782551,7.368532180786133,7.368532180786133,7.659920215606689,6.90507173538208,0.7548484802246094,24.00503251383414,41.65793149514371,5856.04443359375,1.049784660339355,1.4178227186203,1.122615694999695,1.178861234398835,456.2335108015786,269,0.1086771040257404,1.352151975355834,0.08105173513033541,1.008439309687009,0.4424173733753051,0.7317173891945548,0.3752465552128397,0.9037469588008932,0.5932092487814934,0.7420051053226011,4.252099990844727,-5.0009434046,1.225840451023112,HD_number_match,G,SB*,GAIA,G1V,G1V,0,0,0,0,0.0
Gaia DR3 6557409458825491840,6557409458825491840,6557409458825491840,HD 208998,,108736,330.4025680934792,-53.09581573700563,6.986699104309082,6.986699104309082,7.272945404052734,6.524477958679199,0.7484674453735352,27.4904245633228,36.376302508408,5860.04833984375,1.055511713027954,1.569912195205688,1.17453932762146,1.240279505746813,491.0108461434421,249,0.1057131440559406,1.352777269251521,0.07078035943041282,0.9057536052115389,0.371657990408615,0.766034641578752,0.3925836223844486,0.9455016971541375,0.5550852665312351,0.6514189196393777,4.191400051116943,-4.86595068839,2.053628379337886,HD_number_match,F,PM*,GAIA,G0V,G0V,0,0,0,0,0.0
Gaia DR3 2381208934955927808,2381208934955927808,2381208934955927808,HD 221257,,116033,352.6675859603737,-24.19591332830217,7.378954887390137,7.378954887390137,7.689031600952148,6.892927169799805,0.7961044311523438,24.64526606150627,40.57574373530143,5691.75439453125,0.9868133664131165,1.355111479759216,1.157335996627808,1.160154700358274,459.409114258833,243,0.1132111778546422,1.354786211330575,0.08017367823480455,0.9594299418351436,0.4159327938089249,0.7246937050065487,0.3958563042786717,0.9533836517462304,0.5873279426892842,0.6365853499923216,4.292600154876709,-4.88447006774,1.91328509192299,HD_number_match,G,SB*,GAIA,G3V,G3V,0,0,0,0,0.0
Gaia DR3 5436053970982805376,5436053970982805376,5436053970982805376,HD  83517,,47255,144.4813936632013,-36.92566048591023,7.573390007019043,7.573390007019043,7.906323432922363,7.062753677368164,0.8435697555541992,22.79987299842378,43.85989343314029,5573.16748046875,1.002683997154236,1.313851356506348,1.119295120239258,1.147843661791783,448.5236334208867,249,0.1129607658787416,1.355367400389323,0.08228330568998596,0.987281816486553,0.4321338531485414,0.7006687811004397,0.3876735210842379,0.9336761678965729,0.5932451376917842,0.7150398603628995,4.268599987030029,-4.87903357135,1.953458869798679,HD_number_match,G,SB*,GAIA,G3/5(V),G3/5,0,0,0,0,0.0
Gaia DR3 4542191214195121664,4542191214195121664,4542191214195121664,HD 157637,,85129,260.9706793773638,13.09989830195725,7.876561641693115,7.876561641693115,8.226276397705078,7.351657867431641,0.8746185302734375,24.95763397354884,40.06790070965229,5486.1005859375,1.000806212425232,0.8236416578292847,0.9188312888145447,0.9120183016752222,317.9608115293726,189,0.1268647348677331,1.355575417455803,0.1043254385576997,1.114738465906672,0.4775471646091972,0.5580351229258963,0.3099527038329603,0.7464926981202228,0.5807202467831095,1.290157303779531,4.408999919891357,,,Not found,G,PM*,GAIA,G5,G5,0,0,0,0,0.0
Gaia DR3 4750843684668806528,4750843684668806528,4750843684668806528,HD  20201,,14964,48.22598784795435,-47.1553172805174,7.139904022216797,7.139904022216797,7.426074028015137,6.686048030853271,0.7400259971618652,26.27056033616622,38.06542331810554,5906.68017578125,1.035685420036316,1.464841246604919,1.153305649757385,1.195818452987884,469.274772491266,250,0.1089608312465828,1.356197563420473,0.07717081160640421,0.960518247432772,0.4060634721297185,0.751236147254951,0.3849495730663324,0.9271157885861822,0.573338708523521,0.6751411884381939,4.232800006866455,-4.85285709559,2.159022763548929,HD_number_match,F,PM*,GAIA,F9.5V,F9.5V,0,0,0,0,0.0
Gaia DR2 3641365877340584064,3641365877340584064,,HD 127352,,70973,217.7516910697,-5.80241284943479,7.484938621520996,7.484938621520996,7.894448757171631,6.951162338256836,0.9432864189147949,24.35404566949619,41.06093967182278,5411.0,0.88,1.31416392326355,1.304434776306152,1.155498178755134,483.5660746733756,227,0.1203977669293529,1.357845620985951,0.07673817220469985,0.8654528547174731,0.3847417346881197,0.7307317161208078,0.4483441257191153,1.079795762242434,0.6036375948258276,0.3964747795797153,,,,Not found,G,**,,K0V,K0V,0,0,0,0,0.0
Gaia DR3 6038073970589665536,6038073970589665536,6038073970589665536,HD 147722,,,246.1660688321348,-29.70388384503254,6.480162143707275,6.480162143707275,6.76750659942627,6.011893749237061,0.755612850189209,30.53662488860155,32.74756144950621,5886.6552734375,1.043084979057312,1.996211051940918,1.358433365821838,1.397080782183085,590.4942800621114,273,0.1006065963375982,1.358323007342124,0.05411423736491978,0.730614257050197,0.2973796026880265,0.8644103512335043,0.4469484002870726,1.076434285376073,0.5528739034963199,0.4161066637742794,4.241600036621094,,,Not found,F,PM*,GAIA,G0V,G0V,0,0,0,0,0.0
Gaia DR3 4954140773305175552,4954140773305175552,4954140773305175552,HD  11264,,8498,27.39837708454039,-46.76824114661913,7.783960342407227,7.783960342407227,8.107345581054688,7.269853591918945,0.8374919891357422,20.90871510928836,47.82694655185991,5566.38232421875,1.015578031539917,1.276159048080444,1.094902276992798,1.131568919403646,436.2225671608941,269,0.1132987250475799,1.358401561732413,0.08695874186799435,1.042596822781215,0.474697301653996,0.6867087541727015,0.3774511393902535,0.9090564978708207,0.6184840983850431,0.7737260535741503,4.281300067901611,-5.06777412755,0.9494999545116715,HD_number_match,G,**,GAIA,G5V,G5V,0,0,0,0,0.0
Gaia DR3 4545731405415730048,4545731405415730048,4545731405415730048,HD 153701,,83221,255.1194108769648,15.1599582557742,7.866359233856201,7.866359233856201,8.199170112609863,7.357595920562744,0.8415741920471191,26.55125254138046,37.66300661113775,5653.25,0.87,0.7693095803260803,0.9143381118774414,0.8754973602664988,320.7494334399414,182,0.1392019508181603,1.358746266661684,0.1140196386183939,1.112942436426298,0.5121616961706688,0.5855116263378181,0.3394613818651696,0.817561646414012,0.6252774355819939,1.138148118472162,,,,Not found,G,PM*,GAIA,G5V,G5V,0,0,0,0,0.0
